ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,PAYMENT DATE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,DATE ISSUED,LICENSE STATUS,LATITUDE,LONGITUDE,LOCATION
6516,1,ROBERTY DAVILA CORTEZ,LA COPA LIQUORS,4606 S ASHLAND AVE,CHICAGO,IL,60609,15,13,9,1470,Tavern,14574,RENEW,12/23/2015,01/16/2016,01/15/2018,12/24/2015,AAI,41.810180498,-87.665161867,"(41.810180497841365, -87.66516186652541)"
417202,1,"RP RESTAURANT, LLC",GIBSONS ITALIA,233 N CANAL ST 2-4,CHICAGO,IL,60606,34,18,12,1050,Public Place of Amusement,2542049,ISSUE,08/01/2017,10/11/2017,10/15/2019,10/11/2017,AAI,41.886776204,-87.639737728,"(41.88677620405195, -87.6397377275293)"
10316,1,"LA FIESTA, INC.",LA FIESTA RESTAURANT,3323 W 111TH ST 1ST A,CHICAGO,IL,60655,19,21,22,1477,Outdoor Patio,41727,RENEW,12/09/2016,01/16/2017,01/15/2019,12/12/2016,AAI,41.691404254,-87.704282418,"(41.69140425433916, -87.70428241797512)"
333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,42,32,18,1475,Consumption on Premises - Incidental Activity,1915129,RENEW,02/08/2017,03/16/2017,03/15/2019,02/09/2017,AAI,41.898444637,-87.62740564,"(41.898444636675144, -87.62740563976503)"
245067,1,"OCCASIONS CHICAGO CATERING, INC.",OCCASIONS CHICAGO,116 N WILLARD CT,CHICAGO,IL,60607,27,7,12,1481,Caterer's Liquor License,1228415,RENEW,04/15/2016,05/16/2016,05/15/2018,04/18/2016,AAI,41.883435911,-87.657810944,"(41.883435911138996, -87.65781094360706)"
15416,1,GRAND CENTRAL CORPORATION,JEREZ SPORT BAR AND GRILL,5726 W GRAND AVE,CHICAGO,IL,60639,36,21,25,1470,Tavern,37457,RENEW,12/05/2016,01/16/2017,01/15/2019,01/17/2017,AAI,41.919526594,-87.769375827,"(41.919526594497476, -87.76937582701346)"
3546,1,"ALFREDO LINARES, INC.",SUPER MERCADO LA CHIQUITA,3555 W 26TH ST 1ST,CHICAGO,IL,60623,22,28,10,1475,Consumption on Premises - Incidental Activity,6056,RENEW,06/26/2018,08/16/2018,08/15/2020,06/27/2018,AAI,41.844279124,-87.714553766,"(41.84427912373934, -87.71455376627723)"
417243,1,NANDO'S OF MICHIGAN AVENUE LLC,NANDO'S PERI-PERI,117 E LAKE ST 2,CHICAGO,IL,60601,34,44,1,1475,Consumption on Premises - Incidental Activity,2535661,ISSUE,07/18/2017,08/30/2017,09/15/2019,08/30/2017,AAI,41.885655132,-87.623999875,"(41.88565513189689, -87.62399987533252)"
405565,1,"BOATHOUSE RESTAURANTS, LLC",Villanelle,2500 W CHICAGO AVE,CHICAGO,IL,60622,36,3,12,1475,Consumption on Premises - Incidental Activity,2463031,ISSUE,10/12/2016,05/26/2017,06/15/2019,05/26/2017,AAI,41.895825283,-87.689371316,"(41.89582528321707, -87.68937131568885)"
4669,1,50YARDLINE BAR&GRILL LLC,50 YARD LINE,69 E 75TH ST 1,CHICAGO,IL,60619,6,16,6,1472,Music and Dance,10606,RENEW,10/20/2016,10/16/2016,10/15/2018,10/20/2016,AAI,41.758174093,-87.621994448,"(41.75817409333064, -87.62199444753409)"
368947,1,WALDORF=ASTORIA MANAGEMENT LLC,WALDORF ASTORIA CHICAGO,11 E WALTON ST,CHICAGO,IL,60611,42,61,18,1475,Consumption on Premises - Incidental Activity,2134584,RENEW,02/09/2016,02/16/2016,02/15/2018,02/09/2016,AAI,41.899834921,-87.627799172,"(41.89983492074242, -87.6277991723728)"
307481,1,"BDMR, LLC",EASY BAR,1944 W DIVISION ST,CHICAGO,IL,60622,1,17,14,1470,Tavern,1740018,RENEW,11/05/2018,11/16/2018,07/15/2021,11/06/2018,AAI,41.903310755,-87.676651697,"(41.90331075549537, -87.67665169704529)"
62826,2,"CAL-HARBOR RESTAURANT AND LOUNGE, LTD.",CAL-HARBOR RESTAURANT,546 E 115TH ST 1ST,CHICAGO,IL,60628,9,57,5,1475,Consumption on Premises - Incidental Activity,7497,RENEW,09/01/2017,09/16/2017,09/15/2019,09/05/2017,AAI,41.685568493,-87.609626944,"(41.68556849305339, -87.60962694425005)"
86938,8,UNION LEAGUE CLUB OF CHICAGO,UNION LEAGUE CLUB OF CHICAGO,65 W JACKSON BLVD 1-23,CHICAGO,IL,60604,4,49,1,1477,Outdoor Patio,2589507,ISSUE,04/10/2018,05/30/2018,10/15/2020,05/30/2018,AAI,41.878045653,-87.630136799,"(41.878045653481664, -87.6301367989615)"
386117,1,FLYING SQUIRREL INDUSTRIES LLC,SLIPPERY SLOPE,2357 N MILWAUKEE AVE 1 & 2,CHICAGO,IL,60647,1,10,14,1050,Public Place of Amusement,2293834,RENEW,05/12/2016,05/16/2016,05/15/2018,05/20/2016,AAI,41.924150306,-87.699150883,"(41.92415030562805, -87.69915088269197)"
9456,5,SCH&T CORPORATION OF ILLINOIS,SHERATON CHICAGO HOTEL/TOWERS,301 E NORTH WATER ST  TOWER,CHICAGO,IL,60611,42,54,18,1475,Consumption on Premises - Incidental Activity,23330,RENEW,02/28/2017,03/16/2017,03/15/2019,03/01/2017,AAI,41.88945828,-87.620368376,"(41.88945828010943, -87.62036837642913)"
373653,1,15 HUBBARD LLC,EL HEFE,15 W HUBBARD ST 1ST,CHICAGO,IL,60654,42,55,18,1470,Tavern,2163667,RENEW,12/21/2016,01/16/2017,01/15/2019,12/22/2016,AAI,41.889946197,-87.628589306,"(41.889946196683894, -87.62858930629194)"
347714,1,"TOCHAL, INC.",ROCKS NORTHCENTER,4138-4142 N LINCOLN AVE 1,CHICAGO,IL,60618,47,35,19,1475,Consumption on Premises - Incidental Activity,1998393,RENEW,11/30/2018,12/16/2018,07/15/2021,12/03/2018,AAI,41.956920254,-87.680860721,"(41.95692025391941, -87.68086072097182)"
261056,1,2610 RESTAURANT INC.,IMPERIA LOUNGE,2610-2612 W PETERSON AVE,CHICAGO,IL,60659,40,10,24,1475,Consumption on Premises - Incidental Activity,1351625,RENEW,02/14/2017,02/16/2017,02/15/2019,02/14/2017,AAI,41.990577712,-87.695051595,"(41.99057771185899, -87.69505159486957)"
16264,1,"O'HARE GASLIGHT CLUB, INC.",O'HARE GASLIGHT CLUB,4000 N O'HARE FIELD  1ST,CHICAGO,IL,60666,41,,,1472,Music and Dance,43116,RENEW,01/12/2016,01/16/2016,01/15/2018,01/13/2016,AAI,,,
50161,2,"LUMA, LLC",Lou Malnati's Pizzeria,956-958 W WRIGHTWOOD AVE,CHICAGO,IL,60614,43,22,19,1475,Consumption on Premises - Incidental Activity,1042400,RENEW,01/07/2016,02/16/2016,02/15/2018,01/08/2016,AAI,41.929119949,-87.653591862,"(41.92911994883241, -87.65359186197217)"
359506,1,COLONEL (IL) JAMES N. PRITZKER LIBRARY OF THE CITIZEN SOLDIER,PRITZKER MILITARY MUSEUM & LIBRARY,"104 S MICHIGAN AVE 2,3,4",CHICAGO,IL,60603,34,33,1,1050,Public Place of Amusement,2079280,RENEW,04/27/2017,06/16/2017,06/15/2019,05/12/2017,AAI,41.88067914,-87.62449086,"(41.880679139638694, -87.62449086000186)"
353136,1,"HWCS (ROSCOE), INC.",HOT WOKS COOL SUSHI,2032 W ROSCOE ST,CHICAGO,IL,60618,32,21,19,1475,Consumption on Premises - Incidental Activity,2032649,RENEW,07/11/2018,08/16/2018,08/15/2020,07/12/2018,AAI,41.943312712,-87.679721969,"(41.943312712450826, -87.67972196894465)"
374804,1,Flirty Girl Fitness Lincoln Park LLC,FLIRTY GIRL FITNESS,2215-2217 N HALSTED ST 1ST,CHICAGO,IL,60614,43,29,18,1475,Consumption on Premises - Incidental Activity,2189282,RENEW,08/22/2016,08/16/2016,08/15/2018,08/23/2016,AAI,41.922304682,-87.648502168,"(41.92230468172916, -87.64850216798372)"
376040,2,"LAKE PARK ENTERTAINMENT, LLC",THE PROMONTORY,5307-5319 S LAKE PARK AVE 1ST & 2ND,CHICAGO,IL,60615,5,48,2,1475,Consumption on Premises - Incidental Activity,2269539,RENEW,07/12/2018,07/16/2018,07/15/2020,07/13/2018,AAI,41.799317592,-87.587134142,"(41.799317592141975, -87.58713414206618)"
1554,1,"JUST ""B"" CLAWS, INC.",SHAW'S CRAB HOUSE,21 E HUBBARD ST,CHICAGO,IL,60611,42,55,18,1475,Consumption on Premises - Incidental Activity,9280,RENEW,04/27/2017,05/16/2017,05/15/2019,04/28/2017,AAI,41.889971085,-87.627074774,"(41.889971085414004, -87.6270747744828)"
16463,1,"HOLLYWOOD GRILL, INC.",HOLLYWOOD GRILL,1601 W NORTH AVE 1ST,CHICAGO,IL,60622,1,25,14,1475,Consumption on Premises - Incidental Activity,1118838,RENEW,09/27/2016,11/16/2016,11/15/2018,09/28/2016,AAI,41.910519635,-87.667749686,"(41.9105196352962, -87.66774968632781)"
396441,1,"JOIE DE VIVRE HOSPITALITY, LLC",CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE 1-19,CHICAGO,IL,60603,34,9,1,1475,Consumption on Premises - Incidental Activity,2384917,RENEW,04/27/2017,06/16/2017,06/15/2019,05/11/2017,AAI,41.8818033,-87.624504274,"(41.881803300378394, -87.62450427385279)"
301535,1,"LHO CHICAGO RIVER LESSEE, L.L.C.",HOTEL CHICAGO,333 N DEARBORN ST,CHICAGO,IL,60610,42,27,18,1475,Consumption on Premises - Incidental Activity,1680532,RENEW,01/16/2018,02/16/2018,02/15/2020,01/17/2018,AAI,41.888413743,-87.629410813,"(41.888413743062294, -87.62941081299829)"
7031,2,"MORETTI'S PIZZA PALACE & BBQ, INC.",MORETTI'S,6727-6733 N OLMSTED AVE 1ST AND 2ND FLOORS,CHICAGO,IL,60631,41,5,16,1481,Caterer's Liquor License,2298374,RENEW,07/31/2018,08/16/2018,08/15/2020,10/26/2018,AAI,42.002731664,-87.817686554,"(42.00273166409286, -87.81768655374508)"
24271,1,CANARYVILLE S. A. C.,CANARYVILLE S A C,458 W 45TH ST  ENTIR,CHICAGO,IL,60609,15,48,9,1473,Not-For-Profit Club,2159,RENEW,11/29/2017,01/16/2018,01/15/2020,11/30/2017,AAI,41.812765726,-87.638226838,"(41.81276572641788, -87.63822683848521)"
31480,15,"SHEFFIELD'S BEER & WINE GARDEN, INC.",Sheffield's Beer & Wine Garden,3200 N SHEFFIELD AVE,CHICAGO,IL,60657,44,39,19,1476,Special Event Liquor,2596002,ISSUE,05/22/2018,05/22/2018,05/27/2018,05/22/2018,AAI,41.940001076,-87.654255859,"(41.94000107643283, -87.65425585920255)"
362936,3,"101 CHASE, INC.",THE DUGOUT / PRESS BOX,"950 W ADDISON ST LL, 1 & 4",CHICAGO,IL,60613,44,28,19,1050,Public Place of Amusement,2560928,C_EXPA,04/03/2018,05/30/2018,10/15/2019,05/30/2018,AAI,41.94735998,-87.653932445,"(41.947359980046166, -87.65393244544859)"
3222,2,"GABE'S PLACE, INC.",CAFE BA BA REEBA,2024-2028 N HALSTED ST,CHICAGO,IL,60614,43,11,18,1481,Caterer's Liquor License,1165511,RENEW,04/27/2017,05/16/2017,05/15/2019,04/28/2017,AAI,41.918943199,-87.64868497,"(41.918943198725025, -87.64868497024028)"
398481,1,"SMALL BATCH, LLC",ANTIQUE TACO BRIDGEPORT,1000 W 35TH ST 1,CHICAGO,IL,60609,11,19,9,1475,Consumption on Premises - Incidental Activity,2398857,ISSUE,03/10/2016,07/01/2016,07/15/2018,07/01/2016,AAI,41.830793576,-87.651091664,"(41.83079357609036, -87.65109166390083)"
285789,1,"TALBOTT ASSOCIATES, LP",20 EAST,10-20 E DELAWARE PL,CHICAGO,IL,60611,42,24,18,1475,Consumption on Premises - Incidental Activity,2398384,RENEW,06/07/2017,07/16/2017,03/15/2019,06/08/2017,AAI,41.899255056,-87.627834638,"(41.89925505559848, -87.62783463799146)"
400333,1,ZEBRAZ 18 LOUNGE & GRILL INC.,ZEBRAZ 18 LOUNGE & GRILL INC.,1104 W 18TH ST 1,CHICAGO,IL,60608,25,17,12,1475,Consumption on Premises - Incidental Activity,2418931,ISSUE,11/16/2015,05/16/2017,06/15/2019,05/16/2017,AAI,41.858104531,-87.65360897,"(41.85810453086136, -87.65360897005824)"
223046,1,"MJ ONTARIO, INC.",Y,224 W ONTARIO ST,CHICAGO,IL,60610,42,68,18,1470,Tavern,1221620,RENEW,02/13/2018,02/16/2018,02/15/2020,02/14/2018,AAI,41.893282026,-87.635203823,"(41.89328202566408, -87.63520382328524)"
62898,3,"THE FAMILY DEN, INC.",FAMILY DEN,8940-8944 S STONY ISLAND AVE 1,CHICAGO,IL,60617,8,12,4,1050,Public Place of Amusement,2240249,RENEW,07/11/2018,07/16/2018,07/15/2020,09/12/2018,AAI,41.732049135,-87.585689499,"(41.73204913540182, -87.585689498895)"
62544,2,HYATT CORPORATION,BISTRO 151/BAR AT 151,151 E WACKER DR  PLAZA,CHICAGO,IL,60601,42,44,1,1471,Late Hour,1923,RENEW,08/11/2016,09/16/2016,09/15/2018,08/12/2016,AAI,,,
3731,1,THE STORE INC.,THE STORE INC,2002 N HALSTED ST,CHICAGO,IL,60614,43,11,18,1471,Late Hour,7020,RENEW,03/02/2017,04/16/2017,04/15/2019,03/03/2017,AAI,41.91832325,-87.648661976,"(41.91832325025227, -87.64866197573393)"
24598,1,MONTFORD POINT MARINE ASSOCIATION,MONTFORD POINT MARINE ASSOCIATION,7011-7019 S VINCENNES AVE 1,CHICAGO,IL,60621,6,12,7,1473,Not-For-Profit Club,3006,RENEW,10/12/2016,10/16/2016,10/15/2018,10/13/2016,AAI,41.766803676,-87.627130842,"(41.766803676079526, -87.62713084194895)"
361537,3,SENOR PAN CAFE INC.,"SENOR PAN CAFE, TAPAS, Y VINOS",4821 N ELSTON AVE,CHICAGO,IL,60630,39,9,17,1475,Consumption on Premises - Incidental Activity,2463072,ISSUE,05/05/2016,07/06/2016,07/15/2018,07/06/2016,AAI,41.968562454,-87.740659315,"(41.96856245387149, -87.74065931463221)"
277997,1,"DOWNTOWN ENTERTAINMENT, LLC",HQ BEERCADE II,"213 W INSTITUTE PL LL, 1",CHICAGO,IL,60610,27,28,18,1481,Caterer's Liquor License,2380096,RENEW,06/13/2017,06/16/2017,02/15/2018,06/14/2017,AAI,41.897303739,-87.634804168,"(41.8973037387733, -87.63480416772768)"
11184,1,KDK INC,NOSH AND BOOZE,838 W RANDOLPH ST,CHICAGO,IL,60607,27,1,12,1475,Consumption on Premises - Incidental Activity,26878,RENEW,04/29/2016,05/16/2016,05/15/2018,05/02/2016,AAI,41.884492164,-87.648928043,"(41.88449216404889, -87.64892804333877)"
16461,1,TIFFIN INC,TIFFIN,2536 W DEVON AVE 1ST,CHICAGO,IL,60659,50,19,24,1475,Consumption on Premises - Incidental Activity,44702,RENEW,01/18/2017,02/16/2017,02/15/2019,01/19/2017,AAI,41.997773648,-87.693776705,"(41.99777364797605, -87.69377670452054)"
386117,1,FLYING SQUIRREL INDUSTRIES LLC,SLIPPERY SLOPE,2357 N MILWAUKEE AVE 1 & 2,CHICAGO,IL,60647,1,10,14,1470,Tavern,2293833,RENEW,05/12/2016,05/16/2016,05/15/2018,05/13/2016,AAI,41.924150306,-87.699150883,"(41.92415030562805, -87.69915088269197)"
359669,1,"PLAY 18 INDOOR GOLF FACILITY, LLC",PLAY 18,17 N WABASH AVE 3RD 300,CHICAGO,IL,60602,34,9,1,1475,Consumption on Premises - Incidental Activity,2083830,RENEW,01/03/2017,02/16/2017,02/15/2019,06/06/2017,AAI,41.882481427,-87.626076827,"(41.88248142730001, -87.62607682690941)"
380622,2,COMMUNITY OF THE FUTURE INC.,MARIA'S PACKAGED GOODS & COMMUNITY BAR,954-960 W 31ST ST 1ST,CHICAGO,IL,60608,11,8,9,1477,Outdoor Patio,2334279,ISSUE,01/21/2016,04/29/2016,05/15/2018,04/29/2016,AAI,41.838096528,-87.650674653,"(41.83809652812035, -87.6506746532279)"
388859,1,"GALLERY GUICHARD, LLC",GALLERY GUICHARD,436-442 E 47TH ST 1,CHICAGO,IL,60653,3,4,2,1475,Consumption on Premises - Incidental Activity,2333914,ISSUE,07/03/2018,08/13/2018,08/15/2020,08/13/2018,AAI,41.809520569,-87.614824016,"(41.809520568844306, -87.61482401603094)"
381369,1,DUSEKS LLC,DUSEK'S BOARD AND BEER / PUNCH HOUSE,1223-1227 W 18TH ST,CHICAGO,IL,60608,25,17,12,1481,Caterer's Liquor License,2262847,RENEW,08/29/2017,09/16/2017,09/15/2019,08/30/2017,AAI,41.857827848,-87.657416572,"(41.8578278479898, -87.65741657223244)"
370202,4,"PUSSYTAILS, INC.",WOOD,3335-3337 N HALSTED ST 1,CHICAGO,IL,60657,44,33,19,1475,Consumption on Premises - Incidental Activity,2563636,RENEW,08/07/2018,07/16/2018,07/15/2020,08/07/2018,AAI,41.942819898,-87.649214169,"(41.942819898362366, -87.64921416892889)"
29648,2,"THE CONTINENTAL HOUSE, INC.",CONTINENTAL LIQUORS,1628-1630 W 47TH ST,CHICAGO,IL,60609,15,13,9,1470,Tavern,1493051,RENEW,01/09/2018,01/16/2018,01/15/2020,01/10/2018,AAI,41.808692265,-87.666112993,"(41.80869226519778, -87.66611299346467)"
29652,1,NIGHT BEFORE INC.,TOUCHE',6412 N CLARK ST,CHICAGO,IL,60626,40,37,24,1472,Music and Dance,22922,RENEW,09/01/2016,10/16/2016,10/15/2018,09/02/2016,AAI,41.998426386,-87.67087163,"(41.998426385977595, -87.67087162992024)"
426417,1,BILLAR EL CARRIZO INC,EL CARRIZO,4078 W 26TH ST 1,CHICAGO,IL,60623,22,17,10,1050,Public Place of Amusement,2589598,ISSUE,08/14/2018,09/25/2018,10/15/2020,09/25/2018,AAI,41.844319677,-87.727754921,"(41.844319676878946, -87.72775492142739)"
208012,1,"THE EAGLE II, INC.",THE FALCON,1603 -1605 E 53RD ST,CHICAGO,IL,60615,5,48,2,1470,Tavern,1095180,RENEW,06/13/2018,06/16/2018,06/15/2020,08/10/2018,AAI,41.799469658,-87.586330988,"(41.79946965773025, -87.58633098847555)"
283465,1,"FOODSTUFFS, INC.",FOODSTUFFS,338  PARK AVE,GLENCOE,IL,60022,,,,1481,Caterer's Liquor License,2550225,ISSUE,,08/04/2017,04/15/2018,08/04/2017,AAI,,,
283671,2,401 NORTH WABASH VENTURE LLC,TRUMP INTERNATIONAL HOTEL,401 N WABASH AVE 1-89,CHICAGO,IL,60611,42,55,18,1050,Public Place of Amusement,2048779,RENEW,02/06/2018,03/16/2018,03/15/2020,02/28/2018,AAI,41.889284014,-87.626548548,"(41.889284013529334, -87.62654854794113)"
405130,1,"ELSKE, LLC",ELSKE,1350 W RANDOLPH ST 1 & 2,CHICAGO,IL,60607,27,33,12,1475,Consumption on Premises - Incidental Activity,2458130,ISSUE,06/01/2016,11/22/2016,12/15/2018,11/22/2016,AAI,41.884295958,-87.660770346,"(41.88429595787893, -87.66077034614932)"
360006,10,"ROUNDY'S ILLINOIS, LLC",Mariano's #8515,1800 W LAWRENCE AVE 1 & 2,CHICAGO,IL,60640,47,26,20,1477,Outdoor Patio,2314150,RENEW,07/31/2017,09/16/2017,09/15/2019,08/08/2017,AAI,41.968926237,-87.674586492,"(41.96892623664971, -87.67458649212242)"
8970,45,"COMPASS GROUP USA, INC.",Chartwells @ DePaul University,1 E JACKSON BLVD 11,CHICAGO,IL,60604,4,49,1,1481,Caterer's Liquor License,1245382,RENEW,03/09/2018,04/16/2018,04/15/2020,03/13/2018,AAI,41.878110156,-87.627534546,"(41.878110156499886, -87.62753454596945)"
313737,1,"DIVISION DRAFT, LLC",THE CHICAGO TEACHERS' LOUNGE & EATERY,2525 W DIVISION ST 1,CHICAGO,IL,60622,26,20,12,1475,Consumption on Premises - Incidental Activity,1913938,RENEW,11/09/2018,11/16/2018,07/15/2021,11/13/2018,AAI,41.90287407,-87.690500186,"(41.9028740698569, -87.69050018633388)"
414946,1,CEDAR RESTAURANT LLC,SOMERSET/PANDAN,1118 N STATE ST 1-18,CHICAGO,IL,60610,2,60,18,1477,Outdoor Patio,2522218,ISSUE,06/05/2017,08/09/2017,08/15/2019,08/09/2017,AAI,41.902311916,-87.628497381,"(41.902311915686454, -87.62849738136275)"
400083,1,ALBION HOTEL LLC,HAMPTON INN CHICAGO/ LOYOLA STATION,1209 W ALBION AVE,CHICAGO,IL,60626,49,32,24,1475,Consumption on Premises - Incidental Activity,2511013,ISSUE,05/25/2017,05/26/2017,06/15/2019,05/26/2017,AAI,42.002437643,-87.661191152,"(42.002437642824745, -87.66119115199011)"
250887,1,J & E 2922-24 CORP.,Easy Street Pizza & Patio,2922-2924 W IRVING PARK RD 1,CHICAGO,IL,60618,33,25,17,1470,Tavern,2121127,RENEW,11/07/2016,12/16/2016,12/15/2018,11/08/2016,AAI,41.954066876,-87.701752552,"(41.954066875501354, -87.70175255165984)"
369927,6,"BEHIND THE SCENES CHICAGO, LLC",PARAMOUNT EVENTS AND TRUFFLEBERRY MARKET,1746-1758 W LAKE ST 1,CHICAGO,IL,60612,27,27,12,1481,Caterer's Liquor License,2458392,ISSUE,05/24/2016,07/18/2016,08/15/2018,07/18/2016,AAI,41.885282077,-87.671329628,"(41.885282076755075, -87.67132962771234)"
431917,2,"ICBG, INC.",YCA,1180 N MILWAUKEE AVE 2,CHICAGO,IL,60642,1,1,12,1058,Indoor Special Event,2627581,ISSUE,10/18/2018,10/31/2018,11/19/2018,10/31/2018,AAI,41.903161615,-87.666403093,"(41.90316161472991, -87.6664030926531)"
400511,2,UMLAUT BREWING LLC,OFF COLOR BREWING,1460 N KINGSBURY ST,CHICAGO,IL,60642,27,46,18,1477,Outdoor Patio,2496650,ISSUE,11/28/2016,05/22/2018,06/15/2020,05/22/2018,AAI,41.907542939,-87.651503777,"(41.907542938729264, -87.6515037774827)"
336613,1,TAPA TAPA LLC,TAPAS VALENCIA,1530 S STATE ST 1ST,CHICAGO,IL,60605,3,13,1,1475,Consumption on Premises - Incidental Activity,1927737,RENEW,10/12/2018,10/16/2018,10/15/2020,10/15/2018,AAI,41.86101824,-87.6274171,"(41.861018239854175, -87.62741709999585)"
385744,1,"KOKO'S MEDITERRANEAN GRILL, INC.",KOKO'S MEDITERRANEAN GRILL,1760 W CHICAGO AVE,CHICAGO,IL,60622,1,36,12,1475,Consumption on Premises - Incidental Activity,2293014,RENEW,01/10/2018,02/16/2018,02/15/2020,02/14/2018,AAI,41.896102673,-87.67211595,"(41.89610267284695, -87.67211594992528)"
18277,1,"NICK & HOWARD, L.L.C.",UNDERGROUND CHICAGO,56 W ILLINOIS ST LL,CHICAGO,IL,60654,42,20,18,1471,Late Hour,56211,RENEW,01/08/2016,02/16/2016,02/15/2018,05/04/2016,AAI,41.890935447,-87.630143101,"(41.890935446552625, -87.63014310123303)"
386886,2,GOLDEN TEARDROPS LLC,GOLDEN TEARDROPS & LONESOME ROSE,"2101-2103 N CALIFORNIA AVE 1ST, BSMT, & RFTP",CHICAGO,IL,60647,1,13,14,1477,Outdoor Patio,2458443,ISSUE,08/14/2018,11/05/2018,11/15/2020,11/05/2018,AAI,41.919646931,-87.697115663,"(41.919646930728995, -87.69711566287606)"
271689,2,"BLUE CACTUS, INC.",Golden Years / Dante's Tavern,1936-1938 W CHICAGO AVE 1ST,CHICAGO,IL,60622,36,11,12,1475,Consumption on Premises - Incidental Activity,2008837,RENEW,11/14/2018,11/16/2018,11/15/2020,12/12/2018,AAI,41.896037928,-87.67606494,"(41.89603792760617, -87.67606493977472)"
87212,4,"MAINSTAY MANAGEMENT, LLC",THE CHICAGO FIREHOUSE RESTAURANT,"1401 S MICHIGAN AVE BSMT, 1ST & 2ND",CHICAGO,IL,60605,3,21,1,1477,Outdoor Patio,2476942,C_EXPA,10/12/2016,01/09/2017,10/15/2018,01/09/2017,AAI,41.864002596,-87.623932049,"(41.8640025957384, -87.62393204930056)"
11389,1,"ROBERT & ALLEN'S REGENCY INN,  INC.",REGENCY INN,5319 W DIVERSEY AVE,CHICAGO,IL,60639,31,46,25,1475,Consumption on Premises - Incidental Activity,27868,RENEW,01/12/2017,01/16/2017,01/15/2019,01/12/2017,AAI,41.931248725,-87.759680662,"(41.93124872462609, -87.75968066162403)"
215039,1,"157 ONTARIO, INC.",Fame / Lore Chicago,157 W ONTARIO ST 1-2,CHICAGO,IL,60654,42,39,18,1050,Public Place of Amusement,1143690,RENEW,11/07/2019,02/16/2018,02/15/2020,01/14/2020,AAI,41.89308814,-87.633416552,"(41.893088139940794, -87.63341655218103)"
205144,1,"HILTON ILLINOIS, LLC",Palmer House Hilton,17 E MONROE ST,CHICAGO,IL,60603,34,9,1,1050,Public Place of Amusement,2121212,RENEW,04/10/2018,04/16/2018,07/15/2021,04/11/2018,AAI,41.880664578,-87.627089364,"(41.88066457839605, -87.6270893644417)"
372309,2,1154 FULTON MARKET INC.,Pasta Veneta,1154 W FULTON MARKET  1,CHICAGO,IL,60607,27,33,12,1475,Consumption on Premises - Incidental Activity,2358908,RENEW,08/28/2020,06/16/2018,10/15/2020,06/07/2021,AAI,41.886787696,-87.656693949,"(41.88678769586561, -87.65669394874121)"
272662,1,1659 W. OGDEN SERVICES CORPORATION,THE BARN,1659 W OGDEN AVE 1ST FLOOR,CHICAGO,IL,60612,34,60,12,1475,Consumption on Premises - Incidental Activity,1820598,RENEW,12/18/2017,12/16/2017,12/15/2019,01/26/2018,AAI,41.879430511,-87.668312382,"(41.879430511002965, -87.66831238232602)"
283310,1,"LITTLE VILLAGE CONCESSIONS, LLC",VLIVE,2501-2513 S KEDZIE AVE,CHICAGO,IL,60623,25,15,10,1471,Late Hour,1820469,RENEW,08/02/2016,08/16/2016,08/15/2018,08/02/2016,AAI,41.846245644,-87.704945372,"(41.846245643861586, -87.70494537233583)"
36379,1,"NATIONAL PASTIME, INC.",UPPER DECK,3544 N CLARK ST 2ND,CHICAGO,IL,60657,44,38,19,1050,Public Place of Amusement,46920,RENEW,01/09/2017,02/16/2017,02/15/2019,02/02/2017,AAI,41.946683653,-87.656272738,"(41.94668365286616, -87.65627273805016)"
86474,2,"THE WOODLAWN TAP, INC.",THE WOODLAWN TAP,1168 -1172 E 55TH ST 1ST,CHICAGO,IL,60615,5,3,2,1470,Tavern,79076,RENEW,06/09/2016,06/16/2016,06/15/2018,06/09/2016,AAI,41.795173028,-87.59685084,"(41.79517302761119, -87.59685083960005)"
398305,3,"ROANOKE HOSPITALITY, LLC",ROANOKE,135 W MADISON ST 1 & 2,CHICAGO,IL,60602,34,9,1,1481,Caterer's Liquor License,2483204,RENEW,09/20/2017,10/16/2017,09/15/2019,09/21/2017,AAI,41.881856744,-87.631896162,"(41.88185674363783, -87.63189616155178)"
22633,16,"CHIPOTLE MEXICAN GRILL, INC.",Chipotle Mexican Grill,230 W MONROE ST,CHICAGO,IL,60606,42,49,1,1475,Consumption on Premises - Incidental Activity,1545139,RENEW,05/12/2017,05/16/2017,05/15/2019,04/17/2017,AAI,41.880757159,-87.634709298,"(41.88075715864721, -87.6347092983425)"
431409,1,Zentredi LLC,Pi18en,1519 W 18TH ST LOWER LEVEL,CHICAGO,IL,60608,25,7,12,1475,Consumption on Premises - Incidental Activity,2626894,ISSUE,10/12/2018,12/17/2018,07/15/2021,12/17/2018,AAI,41.857713874,-87.664542382,"(41.8577138739859, -87.66454238198166)"
